Tau,Spectrum modulus (htau)
0.007643889688094737,11602715.0707729
0.007871760931676994,11376643.323693508
0.008106425222486573,11154977.952026343
0.00834808506738617,10937633.084235065
0.008596949010150609,10724524.522367744
0.008853231811432709,10515569.70944069
0.00911715463409395,10310687.697458064
0.009388945234060142,10109799.116054658
0.009668838156866602,9912826.141749846
0.009957074940062496,9719692.467800781
0.010253904321649153,9530323.274643015
0.010559582454731944,9344645.200907348
0.010874373128571304,9162586.31500139
0.01119854799622336,8984076.08724508
0.011532386808966743,8809045.362549216
0.011876177657717974,8637426.333626423
0.012230217221643505,8469152.5147243
0.01259481102418327,8304158.715870379
0.012970273696706417,8142381.017619109
0.013356929250026852,7983756.746290978
0.013755111354013035,7828224.449694155
0.014165163625532998,7675723.873319381
0.014587439924983485,7526195.936998704
0.015022304661658652,7379582.712019214
0.015470133108222331,7235827.398682711
0.015931311724554816,7094874.304302792
0.016406238491253833,6956668.82163074
0.016895323253077618,6821157.407701816
0.01739898807262612,6688287.563093923
0.01791766759456599,6558007.811590389
0.018451809420713266,6430267.6802391885
0.01900187449629766,6305017.679800757
0.01956833750774185,6182209.285576855
0.02015168729229869,6061794.918613087
0.020752427259900355,5943727.927267744
0.021371075827582988,5827962.569139855
0.022008166866861932,5714453.993349482
0.022664250164443858,5603158.223163288
0.02333989189667277,5494032.138958803
0.024035675118120034,5387033.461520627
0.024752200264739507,5282120.735662219
0.02549008567202211,5179253.314166888
0.026249968108597376,5078391.342041719
0.0270325033257417,4979495.741078447
0.02783836662326839,4882528.194715139
0.028668253432286944,4787451.1331930095
0.029522879915335344,4694227.719002416
0.030402983584402545,4602821.832612598
0.03130932393737477,4513198.058479461
0.03224268311345514,4425321.671326087
0.03320386656812149,4339158.622690643
0.034193703768205796,4254675.52773642
0.03521304890769413,4171839.652318974
0.03626278164486539,4090618.9003053107
0.03734380786140502,4010981.8011401817
0.03845706044414814,3932897.4976547547
0.039603500090127655,3856335.7341128346
0.04078411613562122,3781266.8444900922
0.041999927409912825,3707661.7409817134
0.04325198311450618,3635491.902734008
0.044541363728547674,3564729.364795668
0.045869181941241385,3495346.707284321
0.04723658361205964,3427317.0447642566
0.04864474875957891,3360614.0158311413
0.05009489257979338,3295211.7728997446
0.051588266494785345,3231084.9721907005
0.053126159232657885,3168208.763912388
0.05470989793966057,3106558.782634206
0.05634084932546947,3046111.137847432
0.058020420842608326,2986842.404710064
0.05975006190102947,2928729.6149720405
0.06153126511890298,2871750.2480773116
0.06336556761069212,2815882.2224393426
0.06525455231362844,2761103.8868866377
0.06719984935372954,2707394.012274999
0.06920313745253921,2654731.783263265
0.07126614537580434,2603096.7902493062
0.07339065342533713,2552469.0214632303
0.0755784949753522,2502828.8552146456
0.07783155805460258,2454157.0522910487
0.08015178697568046,2406434.748504363
0.08254118401288979,2359643.447382725
0.08500181113013651,2313765.013004736
0.08753579176033008,2268781.6629733355
0.09014531263782918,2224675.9615266514
0.09283262568551562,2181430.812783085
0.09560004995812275,2139029.4541180646
0.09844997364349614,2097455.4496698943
0.10138485612351474,2056692.683972144
0.1044072300964483,2016725.3557101774
0.1075197037625859,1977537.9715993358
0.11072496307501893,1939115.3403824554
0.11402577405752178,1901442.5669443682
0.11742498519153192,1864505.0465411022
0.12092552987428638,1828288.4591415704
0.12453042895023896,1792778.7638795255
0.12824279331794033,1757962.193613655
0.1320658266146315,1723825.2495937063
0.13600282798086866,1690354.696230552
0.14005719490756197,1657537.5559682099
0.14423242616788956,1625361.1042557873
0.148532124836612,1593812.8646174448
0.15296000139939753,1562880.6038184278
0.1575198769548377,1532552.3271253274
0.1622156865119179,1502816.27365872
0.1670514823857898,1473660.9118363757
0.17203143769477283,1445074.9349052962
0.17715984996160675,1417047.2565608185
0.18244114482205864,1389567.006651121
0.18787987984408866,1362623.5269654386
0.1934807484608658,1336206.3671043843
0.1992485840210348,1310305.2804307363
0.205188363959721,1284910.220099172
0.2113052140938787,1260011.3351633751
0.2176044130456876,1235598.9667590142
0.2240913967978126,1211663.6443611332
0.23077176338446445,1188196.0821144707
0.23765127772230074,1165187.1752353178
0.24473587658534232,1142627.9964835057
0.252031673728197,1120509.7927031536
0.2595449651620082,1098823.9814308528
0.26728223458768985,1077562.1475699442
0.2752501589911254,1056716.0401296343
0.2834556144051678,1036277.5690276643
0.29190568184340954,1016238.8019552989
0.3006076534108409,996591.9613034291
0.30956903859667867,977329.4211485761
0.31879757075478327,958443.7042976564
0.32830121377726645,939927.4793903454
0.33808816896704497,921773.5580579191
0.3481668821152679,903974.8921374824
0.3585460507897358,886524.5709404869
0.36923463184058636,869415.8185745017
0.38024184912973674,852641.9913171823
0.3915772014907418,836196.5750414361
0.40325047092595173,820073.1826907623
0.41527173104802556,804265.5518038182
0.42765135577309843,788767.5420872329
0.4404000282730999,773573.1330357313
0.4535287501949442,758676.4215986561
0.46704885115456246,744071.6198919652
0.48097199851395067,729753.0529548398
0.49531020744968585,715715.1565500172
0.5100758513215929,701952.4750070056
0.5252816723505065,688459.6591073426
0.5409407926143559,675231.4640110724
0.557066725372044,662262.7472236507
0.5736733867249055,649548.4666024775
0.5907751076258043,637083.6784022934
0.6083866462462267,624863.5353586801
0.6265232007120614,612883.284808916
0.6452004222190314,601138.2668494718
0.6644344285391159,589623.9125294213
0.6842418179296107,578335.7420790714
0.7046396834568228,567269.3631731281
0.7256456277467818,556420.469227716
0.7472777781756684,545784.8377306049
0.7695548025130924,535358.3286039847
0.792495925031708,525136.882599161
0.8161209430970658,515116.5197225501
0.8404502442520385,505293.33769235364
0.865504823810532,495663.5104253302
0.8913063029756899,486223.28655306547
0.9178769474982178,476968.98796717083
0.9452396868909199,467897.0083928486
0.9734181342160562,459003.81199026323
1.0024366064625616,450285.9319831885
1.032320145530736,441739.96931438835
1.0630945398425078,433362.5913272172
1.0947863465959087,425150.53047292755
1.1274229146829946,417100.58304317895
1.1610324082909504,409209.60792726575
1.1956438312067768,401474.5253935757
1.2312870518465089,393892.31589481095
1.2679928290306013,386460.0188965028
1.3057928385276767,379174.73172837496
1.344719700389581,372033.6084581025
1.384807007101319,365033.85878703423
1.426089352570154,358172.7469674506
1.4686023619789232,351447.5907409326
1.5123827225292832,344855.7602974387
1.5574682151014498,338394.6772546784
1.603897746857746,332061.81365739217
1.6517113848180736,325854.69099614915
1.7009503904363334,319770.87924527714
1.7516572552075662,313807.99591956066
1.803875737336592,307963.70514933567
1.8576508994997734,302235.7167736223
1.913029147732475,296621.7854509503
1.9700582714758275,291119.7097875218
2.0287874848172867,285727.33148238494
2.0892674689606276,280442.5344892804
2.151550415962012,275263.24419483636
2.2156900737698386,270187.4266127973
2.281741792607323,265213.087593968
